Ride_ID,Pickup_Location,Drop_Location,Distance_KM,Duration_Minutes,Fare_Amount,Driver_ID,Customer_Rating,Cancellation_Status,Time_of_Day,Day_of_Week,Vehicle_Type
RIDE106714,Vashi,Chembur,20.93,60,582.45,D1291,2.7,Yes,Night,Tue,Sedan
RIDE106715,Colaba,Chembur,6.71,19,132.73,D1808,4.9,No,Night,Thu,Mini
RIDE106716,Dadar,Chembur,28.97,87,538.08,D1288,2.9,No,Afternoon,Sun,Sedan
RIDE106717,Dadar,Matunga,13.03,35,404.67,D1234,2.4,No,Evening,Sat,Sedan
RIDE106718,Thane,Ghatkopar,27.94,92,975.76,D1482,3.6,No,Evening,Tue,Mini
RIDE106719,Panvel,Matunga,20.34,64,204.74,D1915,4.0,No,Afternoon,Mon,Mini
RIDE106720,Colaba,Matunga,31.35,78,493.55,D1649,4.3,No,Night,Sun,Auto
RIDE106721,Bandra,Wadala,2.03,6,27.35,D1433,4.4,No,Evening,Mon,Auto
RIDE106722,Mulund,Juhu,31.93,101,697.62,D1658,2.8,No,Afternoon,Tue,SUV
RIDE106723,Colaba,Matunga,17.0,58,480.75,D1148,1.5,No,Night,Tue,Mini
RIDE106724,Vashi,Powai,28.66,79,785.3,D1405,3.4,No,Evening,Sun,Mini
RIDE106725,Colaba,Worli,31.89,103,836.35,D1446,3.4,Yes,Morning,Fri,Auto
RIDE106726,Panvel,Worli,4.53,13,81.44,D1718,1.5,No,Evening,Sat,Mini
RIDE106727,Borivali,Powai,31.23,85,398.86,D1034,1.7,No,Night,Sun,Mini
RIDE106728,Vashi,Wadala,10.74,27,212.68,D1618,1.5,No,Morning,Tue,Mini
RIDE106729,Thane,Ghatkopar,33.34,105,1140.26,D1671,2.0,Yes,Afternoon,Thu,Sedan
RIDE106730,Borivali,Kurla,15.4,46,342.41,D1604,3.6,Yes,Morning,Mon,Auto
RIDE106731,Thane,Worli,12.85,36,132.12,D1775,2.9,No,Night,Sun,Auto
RIDE106732,Colaba,Worli,3.92,13,48.76,D1835,2.1,No,Morning,Sun,SUV
RIDE106733,Panvel,Chembur,9.29,28,140.02,D1911,2.9,No,Afternoon,Mon,Sedan
RIDE106734,Borivali,Wadala,6.13,20,166.69,D1719,4.4,No,Night,Sun,Mini
RIDE106735,Thane,Worli,25.38,83,744.84,D1177,4.8,No,Night,Tue,Sedan
RIDE106736,Colaba,Juhu,13.18,38,323.24,D1964,3.7,No,Afternoon,Tue,Sedan
RIDE106737,Colaba,Vikhroli,20.91,64,705.53,D1205,4.2,No,Afternoon,Thu,Mini
RIDE106738,Kalyan,Vikhroli,11.18,30,182.0,D1928,1.1,No,Evening,Wed,SUV
RIDE106739,Andheri,Kurla,21.25,66,472.99,D1897,1.7,No,Night,Wed,SUV
RIDE106740,Mulund,Worli,34.99,115,520.17,D1346,3.8,No,Night,Sun,Auto
RIDE106741,Andheri,Matunga,4.55,13,91.94,D1360,2.3,Yes,Night,Wed,SUV
RIDE106742,Bandra,Chembur,7.86,21,159.58,D1300,4.2,Yes,Morning,Thu,SUV
RIDE106743,Dadar,Matunga,20.5,70,592.41,D1357,3.1,No,Evening,Tue,Sedan
RIDE106744,Kalyan,Matunga,32.89,96,937.92,D1764,1.7,No,Night,Thu,Mini
RIDE106745,Borivali,Worli,31.65,92,460.34,D1977,1.0,No,Evening,Fri,SUV
RIDE106746,Borivali,Wadala,17.39,56,595.42,D1258,1.2,No,Morning,Thu,Mini
RIDE106747,Dadar,Kurla,26.48,82,705.8,D1127,1.3,No,Night,Wed,Mini
RIDE106748,Panvel,Chembur,16.47,50,424.19,D1414,1.6,No,Morning,Sun,Sedan
RIDE106749,Mulund,Matunga,16.97,52,552.05,D1569,1.9,No,Morning,Tue,SUV
RIDE106750,Vashi,Wadala,33.67,116,905.2,D1394,1.8,No,Morning,Wed,Auto
RIDE106751,Colaba,Sion,26.28,66,715.63,D1620,2.8,No,Evening,Mon,Sedan
RIDE106752,Thane,Chembur,1.54,5,18.25,D1595,1.1,No,Night,Tue,SUV
RIDE106753,Vashi,Sion,6.95,19,231.43,D1657,4.8,No,Night,Thu,Auto
RIDE106754,Thane,Sion,12.64,40,310.98,D1683,4.0,No,Evening,Mon,Auto
RIDE106755,Vashi,Kurla,3.55,9,110.73,D1093,1.7,Yes,Night,Thu,SUV
RIDE106756,Borivali,Worli,13.86,45,351.31,D1398,4.0,No,Evening,Tue,Mini
RIDE106757,Vashi,Ghatkopar,16.5,44,183.85,D1449,4.3,No,Night,Thu,Auto
RIDE106758,Colaba,Kurla,2.36,6,34.85,D1376,2.0,No,Evening,Mon,Sedan
RIDE106759,Kalyan,Kurla,6.6,21,126.94,D1835,4.3,No,Morning,Tue,SUV
RIDE106760,Bandra,Powai,21.88,73,326.7,D1167,4.6,Yes,Morning,Fri,SUV
RIDE106761,Dadar,Sion,11.62,37,261.04,D1735,1.2,No,Evening,Sat,SUV
RIDE106762,Andheri,Kurla,34.8,114,799.37,D1575,2.8,No,Morning,Mon,SUV
RIDE106763,Colaba,Worli,15.24,38,155.79,D1204,1.2,No,Evening,Sun,Mini
RIDE106764,Borivali,Worli,1.74,5,31.62,D1914,1.1,No,Afternoon,Sun,Sedan
RIDE106765,Thane,Juhu,33.61,88,793.59,D1830,1.4,No,Evening,Thu,Sedan
RIDE106766,Mulund,Juhu,1.99,5,48.72,D1254,1.7,No,Afternoon,Fri,Sedan
RIDE106767,Borivali,Wadala,24.95,84,464.23,D1541,3.4,No,Night,Tue,Sedan
RIDE106768,Thane,Juhu,12.79,37,372.44,D1411,1.9,No,Afternoon,Thu,SUV
RIDE106769,Panvel,Worli,22.94,66,498.29,D1879,3.3,No,Night,Sat,Mini
RIDE106770,Borivali,Juhu,25.77,80,504.46,D1533,4.2,No,Evening,Sat,SUV
RIDE106771,Mulund,Sion,5.86,20,183.74,D1223,4.9,No,Evening,Fri,SUV
RIDE106772,Vashi,Wadala,26.46,92,874.14,D1533,1.1,Yes,Morning,Sat,Auto
RIDE106773,Vashi,Vikhroli,28.2,74,807.17,D1384,4.7,No,Morning,Tue,Mini
RIDE106774,Andheri,Sion,19.17,54,593.61,D1330,3.5,No,Morning,Sat,Mini
RIDE106775,Dadar,Chembur,13.8,36,474.18,D1250,4.8,No,Afternoon,Thu,SUV
RIDE106776,Andheri,Wadala,25.14,74,501.51,D1374,5.0,No,Morning,Sun,SUV
RIDE106777,Panvel,Chembur,30.63,106,378.4,D1975,3.8,No,Morning,Fri,Sedan
RIDE106778,Mulund,Powai,27.76,87,700.56,D1742,1.7,No,Afternoon,Thu,SUV
RIDE106779,Colaba,Wadala,24.66,78,691.34,D1986,1.2,No,Night,Tue,Auto
RIDE106780,Thane,Kurla,27.17,68,768.99,D1892,2.9,No,Night,Tue,Auto
RIDE106781,Borivali,Vikhroli,23.74,74,604.4,D1871,1.9,No,Afternoon,Sat,SUV
RIDE106782,Colaba,Ghatkopar,34.54,117,358.99,D1728,2.3,No,Evening,Wed,SUV
RIDE106783,Panvel,Chembur,9.49,25,280.17,D1894,2.7,No,Night,Thu,Mini
RIDE106784,Panvel,Powai,30.53,90,405.74,D1394,2.7,No,Morning,Tue,Mini
RIDE106785,Vashi,Powai,1.32,4,34.4,D1056,3.5,No,Night,Mon,Mini
RIDE106786,Thane,Vikhroli,3.26,10,88.86,D1254,2.6,No,Afternoon,Tue,Auto
RIDE106787,Vashi,Juhu,9.74,34,165.5,D1669,4.6,No,Evening,Sun,Auto
RIDE106788,Dadar,Chembur,9.2,27,170.51,D1588,2.8,No,Night,Thu,Auto
RIDE106789,Colaba,Chembur,5.52,17,85.58,D1837,4.7,No,Morning,Fri,Auto
RIDE106790,Colaba,Kurla,9.15,31,162.94,D1936,1.9,Yes,Morning,Wed,Mini
RIDE106791,Colaba,Juhu,31.36,95,971.64,D1957,1.8,No,Night,Wed,Auto
RIDE106792,Panvel,Powai,5.02,17,59.06,D1315,3.6,No,Afternoon,Sat,SUV
RIDE106793,Kalyan,Sion,21.43,70,346.56,D1872,3.7,No,Night,Thu,Auto
RIDE106794,Colaba,Vikhroli,14.88,48,290.78,D1818,1.1,No,Morning,Tue,Auto
RIDE106795,Borivali,Vikhroli,17.05,59,377.24,D1216,2.2,Yes,Night,Fri,SUV
RIDE106796,Borivali,Chembur,17.37,58,573.81,D1655,1.8,No,Night,Sat,Auto
RIDE106797,Borivali,Ghatkopar,29.06,81,1014.71,D1104,3.1,No,Afternoon,Mon,SUV
RIDE106798,Panvel,Worli,5.58,18,164.97,D1737,3.0,No,Evening,Tue,Sedan
RIDE106799,Bandra,Powai,12.2,35,129.01,D1467,1.9,No,Afternoon,Thu,SUV
RIDE106800,Dadar,Wadala,12.99,34,422.58,D1869,4.0,No,Morning,Wed,Mini
RIDE106801,Andheri,Ghatkopar,14.51,36,151.09,D1275,3.5,No,Morning,Sun,Sedan
RIDE106802,Thane,Powai,32.98,85,794.75,D1637,2.4,Yes,Night,Tue,SUV
RIDE106803,Kalyan,Wadala,5.88,15,191.54,D1359,4.2,No,Evening,Fri,Mini
RIDE106804,Dadar,Vikhroli,3.66,12,103.5,D1240,3.3,No,Evening,Sun,SUV
RIDE106805,Kalyan,Chembur,23.1,70,286.39,D1878,3.3,No,Night,Sun,Sedan
RIDE106806,Mulund,Sion,4.05,12,83.37,D1843,2.5,No,Morning,Sun,SUV
RIDE106807,Andheri,Ghatkopar,7.28,22,173.61,D1603,4.6,No,Night,Fri,Sedan
RIDE106808,Thane,Matunga,5.3,17,144.66,D1364,1.5,No,Morning,Sat,Mini
RIDE106809,Colaba,Kurla,11.61,40,369.34,D1039,3.7,No,Afternoon,Mon,Auto
RIDE106810,Bandra,Juhu,26.64,89,681.84,D1296,1.6,No,Morning,Fri,SUV
RIDE106811,Vashi,Chembur,31.1,85,604.23,D1672,1.0,No,Night,Sat,Sedan
RIDE106812,Andheri,Wadala,3.4,8,44.01,D1154,4.8,No,Morning,Thu,Mini
RIDE106813,Mulund,Wadala,32.87,102,720.22,D1774,4.6,No,Afternoon,Sun,Mini
RIDE106814,Vashi,Vikhroli,11.35,31,132.91,D1471,3.3,No,Evening,Wed,Sedan
RIDE106815,Borivali,Kurla,24.14,80,507.6,D1010,2.2,No,Evening,Sat,Auto
RIDE106816,Dadar,Ghatkopar,14.13,37,259.61,D1073,3.7,No,Afternoon,Mon,Mini
RIDE106817,Bandra,Kurla,29.49,89,810.75,D1822,2.9,Yes,Morning,Wed,SUV
RIDE106818,Thane,Powai,34.64,118,457.17,D1063,2.9,No,Evening,Mon,SUV
RIDE106819,Kalyan,Powai,22.79,66,246.89,D1899,1.2,No,Evening,Wed,Sedan
RIDE106820,Thane,Chembur,18.09,48,399.02,D1143,3.5,No,Morning,Mon,SUV
RIDE106821,Mulund,Vikhroli,28.57,88,401.61,D1276,3.1,No,Afternoon,Wed,Sedan
RIDE106822,Borivali,Vikhroli,24.77,70,314.92,D1987,4.9,No,Night,Wed,Mini
RIDE106823,Colaba,Vikhroli,13.48,41,397.44,D1212,3.2,Yes,Night,Mon,SUV
RIDE106824,Panvel,Vikhroli,14.03,41,261.14,D1575,4.5,No,Afternoon,Sun,Mini
RIDE106825,Kalyan,Matunga,14.82,37,198.67,D1480,3.7,No,Morning,Tue,Auto
RIDE106826,Dadar,Vikhroli,15.22,44,401.56,D1978,1.6,No,Night,Sun,Auto
RIDE106827,Mulund,Chembur,21.95,72,543.32,D1957,2.1,No,Afternoon,Sun,SUV
RIDE106828,Bandra,Vikhroli,13.05,41,257.67,D1601,3.3,No,Night,Wed,Auto
RIDE106829,Thane,Juhu,10.7,33,173.77,D1207,3.9,No,Afternoon,Fri,SUV
RIDE106830,Andheri,Kurla,11.6,32,148.85,D1976,3.7,No,Night,Thu,Auto
RIDE106831,Panvel,Vikhroli,32.52,90,831.48,D1713,3.5,Yes,Morning,Fri,SUV
RIDE106832,Borivali,Vikhroli,3.86,11,48.55,D1917,1.6,No,Morning,Wed,Mini
RIDE106833,Dadar,Chembur,34.3,93,492.46,D1473,2.6,No,Afternoon,Sat,Auto
RIDE106834,Dadar,Matunga,7.14,21,121.21,D1834,4.8,No,Afternoon,Sat,SUV
RIDE106835,Thane,Wadala,22.01,65,666.46,D1586,3.3,No,Evening,Wed,Mini
RIDE106836,Bandra,Matunga,25.12,77,314.04,D1820,1.0,No,Evening,Sun,SUV
RIDE106837,Andheri,Powai,25.06,73,866.12,D1773,3.2,No,Afternoon,Sun,Auto
RIDE106838,Bandra,Juhu,15.19,39,461.93,D1754,2.6,No,Night,Sun,Sedan
RIDE106839,Andheri,Juhu,16.38,43,386.43,D1164,2.8,No,Afternoon,Sat,Mini
RIDE106840,Mulund,Ghatkopar,5.17,16,104.17,D1559,2.8,No,Evening,Mon,SUV
RIDE106841,Borivali,Vikhroli,19.33,64,449.39,D1772,4.4,No,Night,Sun,Mini
RIDE106842,Andheri,Vikhroli,8.34,27,102.51,D1472,2.9,No,Night,Sun,SUV
RIDE106843,Kalyan,Chembur,24.04,72,827.3,D1784,2.1,No,Night,Tue,Sedan
RIDE106844,Bandra,Matunga,12.88,42,216.64,D1710,2.5,No,Evening,Fri,Auto
RIDE106845,Panvel,Sion,8.29,24,144.61,D1048,2.5,No,Evening,Fri,SUV
RIDE106846,Dadar,Ghatkopar,24.86,63,649.53,D1640,4.8,No,Evening,Wed,SUV
RIDE106847,Vashi,Worli,23.92,65,322.06,D1537,1.3,No,Morning,Sun,Auto
RIDE106848,Vashi,Chembur,5.86,19,138.51,D1579,2.1,No,Evening,Fri,SUV
RIDE106849,Borivali,Sion,34.54,108,1029.72,D1253,1.8,No,Afternoon,Wed,Sedan
RIDE106850,Dadar,Vikhroli,20.76,65,420.47,D1648,4.5,Yes,Afternoon,Sun,Mini
RIDE106851,Thane,Kurla,21.81,72,490.55,D1728,2.6,No,Evening,Sat,Mini
RIDE106852,Colaba,Sion,13.85,38,317.05,D1921,4.5,No,Afternoon,Tue,SUV
RIDE106853,Andheri,Wadala,32.69,110,801.28,D1483,3.0,No,Morning,Fri,Sedan
RIDE106854,Bandra,Juhu,27.7,77,318.84,D1850,2.8,No,Afternoon,Thu,Auto
RIDE106855,Andheri,Vikhroli,30.57,100,601.62,D1250,1.6,Yes,Evening,Sun,Sedan
RIDE106856,Mulund,Kurla,5.44,14,134.15,D1879,4.4,No,Afternoon,Fri,SUV
RIDE106857,Borivali,Ghatkopar,4.53,13,127.94,D1856,3.6,No,Evening,Sun,Mini
RIDE106858,Mulund,Sion,24.09,63,440.33,D1963,4.8,Yes,Afternoon,Mon,Mini
RIDE106859,Colaba,Kurla,12.02,39,170.2,D1683,3.8,No,Morning,Fri,SUV
RIDE106860,Thane,Chembur,11.56,35,133.45,D1114,3.2,No,Evening,Sat,Mini
RIDE106861,Dadar,Juhu,17.14,46,502.25,D1533,1.2,No,Afternoon,Thu,Mini
RIDE106862,Vashi,Powai,4.52,14,107.65,D1871,2.4,No,Evening,Sun,Sedan
RIDE106863,Kalyan,Powai,26.09,71,261.39,D1335,2.7,No,Evening,Wed,Auto
RIDE106864,Panvel,Worli,34.0,97,474.0,D1461,3.8,No,Night,Tue,Mini
RIDE106865,Panvel,Chembur,8.71,27,249.77,D1422,2.9,No,Evening,Thu,Auto
RIDE106866,Borivali,Ghatkopar,5.77,16,61.35,D1454,2.6,No,Night,Thu,Sedan
RIDE106867,Andheri,Powai,4.38,13,146.3,D1307,2.9,No,Night,Thu,Sedan
RIDE106868,Colaba,Sion,20.44,51,695.35,D1149,2.1,No,Morning,Fri,Sedan
RIDE106869,Borivali,Wadala,13.19,35,141.45,D1691,2.4,No,Evening,Sun,SUV
RIDE106870,Thane,Worli,3.01,10,104.47,D1528,3.1,Yes,Evening,Sat,Mini
RIDE106871,Borivali,Kurla,3.05,8,98.03,D1658,3.1,No,Night,Sat,Auto
RIDE106872,Andheri,Matunga,11.72,34,344.19,D1464,2.3,No,Afternoon,Tue,Auto
RIDE106873,Borivali,Worli,1.3,3,27.43,D1311,4.4,Yes,Afternoon,Mon,Auto
RIDE106874,Mulund,Ghatkopar,24.45,85,736.78,D1441,3.0,No,Afternoon,Sun,SUV
RIDE106875,Colaba,Ghatkopar,15.86,48,391.09,D1998,2.0,No,Night,Wed,SUV
RIDE106876,Bandra,Matunga,5.92,17,140.92,D1672,3.9,No,Evening,Sat,Auto
RIDE106877,Kalyan,Matunga,13.92,46,373.92,D1521,1.1,No,Night,Mon,Sedan
RIDE106878,Mulund,Kurla,19.94,59,440.62,D1899,4.0,No,Evening,Mon,Auto
RIDE106879,Kalyan,Wadala,2.77,9,74.32,D1592,1.3,No,Afternoon,Thu,Mini
RIDE106880,Bandra,Chembur,18.64,63,494.67,D1621,2.8,No,Morning,Sun,Auto
RIDE106881,Colaba,Vikhroli,17.52,56,193.75,D1578,2.7,No,Night,Thu,SUV
RIDE106882,Dadar,Kurla,22.21,63,468.42,D1397,5.0,No,Afternoon,Sun,Mini
RIDE106883,Borivali,Vikhroli,22.11,68,385.22,D1961,3.2,No,Night,Sat,Sedan
RIDE106884,Andheri,Sion,31.25,78,1034.5,D1196,1.9,No,Morning,Mon,Sedan
RIDE106885,Mulund,Matunga,32.23,91,389.07,D1651,3.2,No,Afternoon,Thu,Auto
RIDE106886,Colaba,Chembur,26.2,69,734.93,D1626,1.3,No,Evening,Tue,SUV
RIDE106887,Kalyan,Sion,13.55,42,283.3,D1943,3.9,No,Evening,Mon,Auto
RIDE106888,Panvel,Chembur,17.89,62,530.57,D1280,3.8,No,Night,Thu,Sedan
RIDE106889,Panvel,Vikhroli,31.73,93,464.83,D1174,2.9,No,Morning,Mon,Mini
RIDE106890,Kalyan,Wadala,16.75,52,370.22,D1630,3.5,No,Night,Mon,Auto
RIDE106891,Panvel,Ghatkopar,11.85,39,127.59,D1565,2.8,No,Evening,Mon,Auto
RIDE106892,Borivali,Powai,7.93,25,166.41,D1069,1.9,No,Afternoon,Fri,Auto
RIDE106893,Mulund,Juhu,31.08,87,934.75,D1726,3.2,No,Evening,Tue,SUV
RIDE106894,Bandra,Vikhroli,10.25,34,191.11,D1207,4.2,No,Night,Sat,Mini
RIDE106895,Andheri,Kurla,10.6,36,145.26,D1918,3.4,No,Night,Fri,Mini
RIDE106896,Dadar,Juhu,25.87,82,505.2,D1420,4.9,No,Night,Thu,Auto
RIDE106897,Thane,Kurla,14.67,41,489.5,D1408,2.4,Yes,Morning,Tue,Sedan
RIDE106898,Dadar,Sion,19.78,65,466.73,D1057,3.7,No,Morning,Thu,SUV
RIDE106899,Andheri,Sion,15.4,49,447.25,D1491,3.6,No,Morning,Tue,SUV
RIDE106900,Andheri,Powai,19.28,53,540.04,D1218,3.2,No,Night,Tue,Mini
RIDE106901,Borivali,Worli,5.69,19,91.58,D1599,3.8,No,Night,Sat,SUV
RIDE106902,Bandra,Kurla,20.6,68,307.94,D1006,3.8,No,Morning,Thu,Sedan
RIDE106903,Thane,Wadala,19.48,49,596.71,D1188,1.4,No,Night,Sat,Auto
RIDE106904,Andheri,Juhu,8.06,24,257.19,D1496,4.6,No,Morning,Mon,Sedan
RIDE106905,Dadar,Sion,1.48,5,42.54,D1461,4.8,No,Morning,Sat,Sedan
RIDE106906,Bandra,Juhu,21.59,59,337.28,D1363,2.4,No,Afternoon,Sat,Mini
RIDE106907,Kalyan,Juhu,6.82,22,97.89,D1801,1.3,No,Evening,Tue,Auto
RIDE106908,Bandra,Sion,18.52,58,279.11,D1708,1.1,No,Morning,Tue,Mini
RIDE106909,Bandra,Matunga,31.39,101,325.41,D1261,4.3,No,Night,Sat,Sedan
RIDE106910,Kalyan,Matunga,31.61,106,325.55,D1648,3.9,No,Morning,Sun,SUV
RIDE106911,Vashi,Powai,28.45,94,631.6,D1844,2.5,No,Evening,Tue,Mini
RIDE106912,Kalyan,Ghatkopar,25.79,73,758.39,D1524,2.2,No,Morning,Sat,Auto
RIDE106913,Vashi,Powai,7.77,25,155.15,D1085,1.8,No,Evening,Mon,SUV
RIDE106914,Andheri,Sion,3.05,8,85.52,D1383,1.4,No,Morning,Thu,Mini
RIDE106915,Borivali,Worli,26.66,89,920.08,D1362,3.7,No,Afternoon,Thu,Mini
RIDE106916,Dadar,Ghatkopar,1.44,3,37.81,D1826,2.7,No,Afternoon,Thu,Mini
RIDE106917,Bandra,Chembur,14.65,45,194.33,D1896,2.8,No,Night,Mon,Mini
RIDE106918,Bandra,Juhu,11.28,28,278.46,D1500,2.3,No,Morning,Mon,Mini
RIDE106919,Panvel,Ghatkopar,21.58,72,358.49,D1011,3.3,No,Night,Wed,SUV
RIDE106920,Borivali,Worli,20.32,58,396.15,D1919,4.0,No,Morning,Sun,SUV
RIDE106921,Thane,Ghatkopar,30.79,78,431.78,D1607,1.6,No,Evening,Tue,Mini
RIDE106922,Thane,Ghatkopar,19.52,63,301.37,D1095,4.1,No,Afternoon,Sun,Auto
RIDE106923,Andheri,Powai,10.84,37,276.77,D1384,1.0,Yes,Afternoon,Fri,Mini
RIDE106924,Andheri,Juhu,12.5,37,325.73,D1027,1.7,No,Evening,Tue,Auto
RIDE106925,Andheri,Chembur,12.07,34,184.64,D1523,5.0,Yes,Afternoon,Tue,Auto
RIDE106926,Kalyan,Ghatkopar,18.91,52,298.31,D1871,2.0,No,Evening,Fri,SUV
RIDE106927,Bandra,Matunga,15.06,37,427.6,D1982,3.0,No,Afternoon,Wed,Mini
RIDE106928,Borivali,Ghatkopar,21.65,73,479.43,D1788,2.0,No,Afternoon,Fri,Auto
RIDE106929,Kalyan,Chembur,30.68,83,689.48,D1794,2.6,No,Morning,Sun,Sedan
RIDE106930,Colaba,Kurla,29.42,74,466.74,D1540,3.2,No,Evening,Tue,Sedan
RIDE106931,Colaba,Ghatkopar,25.5,75,582.95,D1600,2.0,No,Afternoon,Fri,Sedan
RIDE106932,Andheri,Worli,24.73,75,727.48,D1904,3.0,No,Afternoon,Fri,Auto
RIDE106933,Bandra,Worli,27.45,72,378.79,D1052,1.2,No,Morning,Thu,Sedan
RIDE106934,Vashi,Sion,25.11,84,482.04,D1581,4.4,No,Night,Sun,Auto
RIDE106935,Colaba,Chembur,32.67,98,338.89,D1628,2.5,Yes,Evening,Tue,Mini
RIDE106936,Dadar,Juhu,10.01,26,300.48,D1421,3.3,No,Night,Fri,Auto
RIDE106937,Colaba,Sion,22.35,60,621.26,D1393,4.4,No,Evening,Thu,Mini
RIDE106938,Mulund,Sion,13.37,35,356.15,D1672,2.8,No,Afternoon,Wed,Sedan
RIDE106939,Thane,Matunga,5.49,15,149.42,D1303,2.8,No,Afternoon,Thu,Auto
RIDE106940,Dadar,Juhu,21.36,73,704.77,D1386,1.4,No,Afternoon,Thu,Auto
RIDE106941,Mulund,Worli,10.76,30,304.99,D1002,2.7,No,Evening,Mon,Auto
RIDE106942,Bandra,Wadala,2.02,6,43.19,D1653,1.2,No,Night,Sun,Auto
RIDE106943,Thane,Powai,15.58,43,176.44,D1782,1.6,No,Evening,Sat,SUV
RIDE106944,Panvel,Juhu,28.42,96,949.94,D1063,4.1,No,Morning,Wed,Sedan
RIDE106945,Vashi,Juhu,11.57,36,355.97,D1268,1.3,Yes,Evening,Sat,Mini
RIDE106946,Bandra,Juhu,14.98,51,308.77,D1635,1.3,No,Afternoon,Sun,Auto
RIDE106947,Borivali,Chembur,26.22,81,801.8,D1704,1.3,No,Night,Fri,Mini
RIDE106948,Colaba,Juhu,14.82,41,414.75,D1421,3.8,No,Night,Tue,SUV
RIDE106949,Vashi,Matunga,29.01,91,543.65,D1603,3.9,No,Morning,Sun,SUV
RIDE106950,Bandra,Vikhroli,25.34,86,589.26,D1454,1.1,No,Afternoon,Thu,SUV
RIDE106951,Kalyan,Matunga,6.19,18,181.8,D1738,1.8,No,Morning,Tue,SUV
RIDE106952,Thane,Sion,33.5,108,521.09,D1315,1.2,No,Afternoon,Mon,Mini
RIDE106953,Vashi,Chembur,33.28,106,733.5,D1644,5.0,No,Evening,Sat,SUV
RIDE106954,Bandra,Vikhroli,4.03,11,118.96,D1286,2.4,No,Morning,Sat,Mini
RIDE106955,Colaba,Kurla,10.71,34,179.28,D1083,4.2,No,Evening,Sun,Sedan
RIDE106956,Dadar,Kurla,9.54,26,224.64,D1151,2.4,Yes,Night,Sat,Mini
RIDE106957,Andheri,Sion,3.35,9,91.56,D1076,2.4,No,Afternoon,Sat,Mini
RIDE106958,Kalyan,Juhu,10.63,32,200.0,D1882,4.9,No,Night,Mon,SUV
RIDE106959,Andheri,Matunga,17.4,56,206.33,D1614,4.3,No,Afternoon,Tue,SUV
RIDE106960,Panvel,Kurla,17.75,59,198.15,D1799,4.5,No,Afternoon,Tue,Sedan
RIDE106961,Thane,Matunga,33.36,98,1139.88,D1789,1.6,No,Morning,Sat,Auto
RIDE106962,Borivali,Powai,2.22,5,39.64,D1636,2.6,No,Morning,Tue,SUV
RIDE106963,Thane,Matunga,6.78,17,181.74,D1295,4.6,No,Morning,Sat,Sedan
RIDE106964,Colaba,Kurla,12.95,33,374.71,D1622,4.3,No,Night,Mon,SUV
RIDE106965,Vashi,Wadala,25.52,72,671.47,D1411,3.8,Yes,Night,Tue,SUV
RIDE106966,Vashi,Worli,33.4,92,892.72,D1650,3.7,No,Evening,Sun,Sedan
RIDE106967,Mulund,Juhu,14.16,46,288.39,D1974,1.6,No,Night,Sun,SUV
RIDE106968,Kalyan,Juhu,6.79,21,79.3,D1981,4.9,No,Morning,Sun,Mini
RIDE106969,Mulund,Ghatkopar,12.93,36,443.41,D1238,2.0,No,Afternoon,Sat,SUV
RIDE106970,Andheri,Wadala,25.5,71,452.35,D1904,4.5,No,Afternoon,Sun,Auto
RIDE106971,Kalyan,Juhu,17.11,54,178.84,D1040,3.9,No,Night,Fri,Auto
RIDE106972,Mulund,Kurla,34.08,96,342.06,D1630,2.9,No,Night,Wed,Sedan
RIDE106973,Andheri,Juhu,8.13,20,234.58,D1492,2.8,No,Morning,Wed,Auto
RIDE106974,Mulund,Juhu,26.19,75,290.45,D1291,1.6,No,Evening,Thu,Sedan
RIDE106975,Andheri,Worli,18.12,57,229.61,D1314,2.1,No,Morning,Tue,Mini
RIDE106976,Dadar,Worli,23.06,74,677.84,D1359,2.4,No,Night,Tue,Mini
RIDE106977,Vashi,Powai,34.67,99,433.47,D1490,3.5,No,Morning,Wed,Mini
RIDE106978,Vashi,Kurla,32.05,80,493.35,D1002,2.3,No,Evening,Mon,SUV
RIDE106979,Mulund,Kurla,9.68,30,221.34,D1518,2.9,No,Night,Fri,Auto
RIDE106980,Borivali,Ghatkopar,34.81,94,475.36,D1109,1.2,No,Morning,Fri,Auto
RIDE106981,Thane,Vikhroli,21.5,65,289.11,D1702,2.5,No,Morning,Fri,Sedan
RIDE106982,Borivali,Juhu,7.56,22,196.77,D1687,2.5,No,Night,Fri,Auto
RIDE106983,Mulund,Kurla,1.48,4,22.97,D1239,3.1,No,Afternoon,Sat,Mini
RIDE106984,Vashi,Chembur,7.21,20,154.72,D1333,3.7,No,Night,Sat,Auto
RIDE106985,Dadar,Juhu,5.49,17,58.76,D1066,4.8,No,Night,Tue,Auto
RIDE106986,Mulund,Juhu,14.65,49,449.56,D1451,3.0,No,Night,Fri,SUV
RIDE106987,Thane,Ghatkopar,30.02,90,490.96,D1975,3.0,No,Afternoon,Mon,Auto
RIDE106988,Mulund,Wadala,8.23,25,170.23,D1576,3.2,No,Night,Wed,Mini
RIDE106989,Mulund,Matunga,30.07,94,625.11,D1067,3.3,No,Night,Wed,Auto
RIDE106990,Andheri,Ghatkopar,18.82,62,602.91,D1663,1.2,No,Morning,Mon,Sedan
RIDE106991,Colaba,Kurla,13.01,44,133.48,D1369,3.8,No,Afternoon,Wed,Sedan
RIDE106992,Vashi,Vikhroli,27.73,78,552.97,D1282,4.7,No,Night,Fri,Sedan
